Player,Team,Season,Player_Address,09/08vs. DET,09/15vs. BAL,09/22vs. CAR,09/29vs. SEA,10/06vs. CIN,10/13vs. ATL,10/20vs. NYG,10/27vs. NOR,10/31vs. SFO,11/10vs. TAM,11/17vs. SFO,12/01vs. LAR,12/08vs. PIT,12/15vs. CLE,12/22vs. SEA,12/29vs. LAR,Player_Address,09/08vs. MIN,09/15vs. PHI,09/22vs. IND,09/29vs. TEN,10/06vs. HOU,10/13vs. ARI,10/20vs. LAR,10/27vs. SEA,11/10vs. NOR,11/17vs. CAR,11/24vs. TAM,11/28vs. NOR,12/08vs. CAR,12/15vs. SFO,12/22vs. JAX,12/29vs. TAM,Player_Address,09/08vs. MIA,09/15vs. ARI,09/22vs. KAN,09/29vs. CLE,10/06vs. PIT,10/13vs. CIN,10/20vs. SEA,11/03vs. NWE,11/10vs. CIN,11/17vs. HOU,11/25vs. LAR,12/01vs. SFO,12/08vs. BUF,12/12vs. NYJ,12/22vs. CLE,12/29vs. PIT,01/11vs. TEN,Player_Address,09/08vs. NYJ,09/15vs. NYG,09/22vs. CIN,09/29vs. NWE,10/06vs. TEN,10/20vs. MIA,10/27vs. PHI,11/03vs. WAS,11/10vs. CLE,11/17vs. MIA,11/24vs. DEN,11/28vs. DAL,12/08vs. BAL,12/15vs. PIT,12/21vs. NWE,12/29vs. NYJ,01/04vs. HOU,Player_Address,09/08vs. LAR,09/12vs. TAM,09/22vs. ARI,09/29vs. HOU,10/06vs. JAX,10/13vs. TAM,10/27vs. SFO,11/03vs. TEN,11/10vs. GNB,11/17vs. ATL,11/24vs. NOR,12/01vs. WAS,12/08vs. ATL,12/15vs. SEA,12/22vs. IND,12/29vs. NOR,Player_Address,09/05vs. GNB,09/15vs. DEN,09/23vs. WAS,09/29vs. MIN,10/06vs. OAK,10/20vs. NOR,10/27vs. LAC,11/03vs. PHI,11/10vs. DET,11/17vs. LAR,11/24vs. NYG,11/28vs. DET,12/05vs. DAL,12/15vs. GNB,12/22vs. KAN,12/29vs. MIN,Player_Address,09/08vs. SEA,09/15vs. SFO,09/22vs. BUF,09/30vs. PIT,10/06vs. ARI,10/13vs. BAL,10/20vs. JAX,10/27vs. LAR,11/10vs. BAL,11/17vs. OAK,11/24vs. PIT,12/01vs. NYJ,12/08vs. CLE,12/15vs. NWE,12/22vs. MIA,12/29vs. CLE,Player_Address,09/08vs. TEN,09/16vs. NYJ,09/22vs. LAR,09/29vs. BAL,10/07vs. SFO,10/13vs. SEA,10/27vs. NWE,11/03vs. DEN,11/10vs. BUF,11/14vs. PIT,11/24vs. MIA,12/01vs. PIT,12/08vs. CIN,12/15vs. ARI,12/22vs. BAL,12/29vs. CIN,Player_Address,09/08vs. NYG,09/15vs. WAS,09/22vs. MIA,09/29vs. NOR,10/06vs. GNB,10/13vs. NYJ,10/20vs. PHI,11/04vs. NYG,11/10vs. MIN,11/17vs. DET,11/24vs. NWE,11/28vs. BUF,12/05vs. CHI,12/15vs. LAR,12/22vs. PHI,12/29vs. WAS,Player_Address,09/09vs. OAK,09/15vs. CHI,09/22vs. GNB,09/29vs. JAX,10/06vs. LAC,10/13vs. TEN,10/17vs. KAN,10/27vs. IND,11/03vs. CLE,11/17vs. MIN,11/24vs. BUF,12/01vs. LAC,12/08vs. HOU,12/15vs. KAN,12/22vs. DET,12/29vs. OAK,09/08vs. ARI,09/15vs. LAC,09/22vs. PHI,09/29vs. KAN,10/14vs. GNB,10/20vs. MIN,10/27vs. NYG,11/03vs. OAK,11/10vs. CHI,11/17vs. DAL,11/24vs. WAS,11/28vs. CHI,12/08vs. MIN,12/15vs. TAM,12/22vs. DEN,12/29vs. GNB,09/05vs. CHI,09/15vs. MIN,09/22vs. DEN,09/26vs. PHI,10/06vs. DAL,10/14vs. DET,10/20vs. OAK,10/27vs. KAN,11/03vs. LAC,11/10vs. CAR,11/24vs. SFO,12/01vs. NYG,12/08vs. WAS,12/15vs. CHI,12/23vs. MIN,12/29vs. DET,01/12vs. SEA,01/19vs. SFO,Player_Address,09/09vs. NOR,09/15vs. JAX,09/22vs. LAC,09/29vs. CAR,10/06vs. ATL,10/13vs. KAN,10/20vs. IND,10/27vs. OAK,11/03vs. JAX,11/17vs. BAL,11/21vs. IND,12/01vs. NWE,12/08vs. DEN,12/15vs. TEN,12/21vs. TAM,12/29vs. TEN,01/04vs. BUF,01/12vs. KAN,Player_Address,09/08vs. LAC,09/15vs. TEN,09/22vs. ATL,09/29vs. OAK,10/06vs. KAN,10/20vs. HOU,10/27vs. DEN,11/03vs. PIT,11/10vs. MIA,11/17vs. JAX,11/21vs. HOU,12/01vs. TEN,12/08vs. TAM,12/16vs. NOR,12/22vs. CAR,12/29vs. JAX,Player_Address,09/08vs. KAN,09/15vs. HOU,09/19vs. TEN,09/29vs. DEN,10/06vs. CAR,10/13vs. NOR,10/20vs. CIN,10/27vs. NYJ,11/03vs. HOU,11/17vs. IND,11/24vs. TEN,12/01vs. TAM,12/08vs. LAC,12/15vs. OAK,12/22vs. ATL,12/29vs. IND,09/08vs. JAX,09/15vs. OAK,09/22vs. BAL,09/29vs. DET,10/06vs. IND,10/13vs. HOU,10/17vs. DEN,10/27vs. GNB,11/03vs. MIN,11/10vs. TEN,11/18vs. LAC,12/01vs. OAK,12/08vs. NWE,12/15vs. DEN,12/22vs. CHI,12/29vs. LAC,01/12vs. HOU,01/19vs. TEN,02/02vs. SFO,09/08vs. IND,09/15vs. DET,09/22vs. HOU,09/29vs. MIA,10/06vs. DEN,10/13vs. PIT,10/20vs. TEN,10/27vs. CHI,11/03vs. GNB,11/07vs. OAK,11/18vs. KAN,12/01vs. DEN,12/08vs. JAX,12/15vs. MIN,12/22vs. OAK,12/29vs. KAN,09/08vs. CAR,09/15vs. NOR,09/22vs. CLE,09/29vs. TAM,10/03vs. SEA,10/13vs. SFO,10/20vs. ATL,10/27vs. CIN,11/10vs. PIT,11/17vs. CHI,11/25vs. BAL,12/01vs. ARI,12/08vs. SEA,12/15vs. DAL,12/21vs. SFO,12/29vs. ARI,09/08vs. BAL,09/15vs. NWE,09/22vs. DAL,09/29vs. LAC,10/13vs. WAS,10/20vs. BUF,10/28vs. PIT,11/03vs. NYJ,11/10vs. IND,11/17vs. BUF,11/24vs. CLE,12/01vs. PHI,12/08vs. NYJ,12/15vs. NYG,12/22vs. CIN,12/29vs. NWE,09/08vs. ATL,09/15vs. GNB,09/22vs. OAK,09/29vs. CHI,10/06vs. NYG,10/13vs. PHI,10/20vs. DET,10/24vs. WAS,11/03vs. KAN,11/10vs. DAL,11/17vs. DEN,12/02vs. SEA,12/08vs. DET,12/15vs. LAC,12/23vs. GNB,12/29vs. CHI,01/05vs. NOR,01/11vs. SFO,09/09vs. HOU,09/15vs. LAR,09/22vs. SEA,09/29vs. DAL,10/06vs. TAM,10/13vs. JAX,10/20vs. CHI,10/27vs. ARI,11/10vs. ATL,11/17vs. TAM,11/24vs. CAR,11/28vs. ATL,12/08vs. SFO,12/16vs. IND,12/22vs. TEN,12/29vs. CAR,01/05vs. MIN,Player_Address,09/08vs. PIT,09/15vs. MIA,09/22vs. NYJ,09/29vs. BUF,10/06vs. WAS,10/10vs. NYG,10/21vs. NYJ,10/27vs. CLE,11/03vs. BAL,11/17vs. PHI,11/24vs. DAL,12/01vs. HOU,12/08vs. KAN,12/15vs. CIN,12/21vs. BUF,12/29vs. MIA,01/04vs. TEN,09/08vs. DAL,09/15vs. BUF,09/22vs. TAM,09/29vs. WAS,10/06vs. MIN,10/10vs. NWE,10/20vs. ARI,10/27vs. DET,11/04vs. DAL,11/10vs. NYJ,11/24vs. CHI,12/01vs. GNB,12/09vs. PHI,12/15vs. MIA,12/22vs. WAS,12/29vs. PHI,09/08vs. BUF,09/16vs. CLE,09/22vs. NWE,10/06vs. PHI,10/13vs. DAL,10/21vs. NWE,10/27vs. JAX,11/03vs. MIA,11/10vs. NYG,11/17vs. WAS,11/24vs. OAK,12/01vs. CIN,12/08vs. MIA,12/12vs. BAL,12/22vs. PIT,12/29vs. BUF,09/09vs. DEN,09/15vs. KAN,09/22vs. MIN,09/29vs. IND,10/06vs. CHI,10/20vs. GNB,10/27vs. HOU,11/03vs. DET,11/07vs. LAC,11/17vs. CIN,11/24vs. NYJ,12/01vs. KAN,12/08vs. TEN,12/15vs. JAX,12/22vs. LAC,12/29vs. DEN,Player_Address,09/08vs. WAS,09/15vs. ATL,09/22vs. DET,09/26vs. GNB,10/06vs. NYJ,10/13vs. MIN,10/20vs. DAL,10/27vs. BUF,11/03vs. CHI,11/17vs. NWE,11/24vs. SEA,12/01vs. MIA,12/09vs. NYG,12/15vs. WAS,12/22vs. DAL,12/29vs. NYG,01/05vs. SEA,09/08vs. NWE,09/15vs. SEA,09/22vs. SFO,09/30vs. CIN,10/06vs. BAL,10/13vs. LAC,10/28vs. MIA,11/03vs. IND,11/10vs. LAR,11/14vs. CLE,11/24vs. CIN,12/01vs. CLE,12/08vs. ARI,12/15vs. BUF,12/22vs. NYJ,12/29vs. BAL,09/08vs. CIN,09/15vs. PIT,09/22vs. NOR,09/29vs. ARI,10/03vs. LAR,10/13vs. CLE,10/20vs. BAL,10/27vs. ATL,11/03vs. TAM,11/11vs. SFO,11/24vs. PHI,12/02vs. MIN,12/08vs. LAR,12/15vs. CAR,12/22vs. ARI,12/29vs. SFO,01/05vs. PHI,01/12vs. GNB,Player_Address,09/08vs. TAM,09/15vs. CIN,09/22vs. PIT,10/07vs. CLE,10/13vs. LAR,10/20vs. WAS,10/27vs. CAR,10/31vs. ARI,11/11vs. SEA,11/17vs. ARI,11/24vs. GNB,12/01vs. BAL,12/08vs. NOR,12/15vs. ATL,12/21vs. LAR,12/29vs. SEA,01/11vs. MIN,01/19vs. GNB,02/02vs. KAN,09/08vs. SFO,09/12vs. CAR,09/22vs. NYG,09/29vs. LAR,10/06vs. NOR,10/13vs. CAR,10/27vs. TEN,11/03vs. SEA,11/10vs. ARI,11/17vs. NOR,11/24vs. ATL,12/01vs. JAX,12/08vs. IND,12/15vs. DET,12/21vs. HOU,12/29vs. ATL,09/08vs. CLE,09/15vs. IND,09/19vs. JAX,09/29vs. ATL,10/06vs. BUF,10/13vs. DEN,10/20vs. LAC,10/27vs. TAM,11/03vs. CAR,11/10vs. KAN,11/24vs. JAX,12/01vs. IND,12/08vs. OAK,12/15vs. HOU,12/22vs. NOR,12/29vs. HOU,01/04vs. NWE,01/11vs. BAL,01/19vs. KAN,09/08vs. PHI,09/15vs. DAL,09/23vs. CHI,09/29vs. NYG,10/06vs. NWE,10/13vs. MIA,10/20vs. SFO,10/24vs. MIN,11/03vs. BUF,11/17vs. NYJ,11/24vs. DET,12/01vs. CAR,12/08vs. GNB,12/15vs. PHI,12/22vs. NYG,12/29vs. DAL
Alex Lewis,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/L/LewiAl01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questionable: Shoulder,,,,Questionable: Neck,,,,Questionable: Elbow,Questionable: Elbow,Questionable: Elbow,,,,Out: Ankle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Maulet,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/M/MaulAr00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doubtful: Calf,Doubtful: Calf,Questionable: Calf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert McClellan,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/M/McClAl00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Out: Concussion,Out: Concussion,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve McLendon,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/M/McLeSt00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questionable: Hip,Questionable: Hip,,,Questionable: Hamstring,,Questionable: Hamstring,Questionable: Hamstring,Questionable: Neck,Questionable: Neck,Questionable: Neck,Questionable: Knee,Questionable: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rontez Miles,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/M/MileRo00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questionable: Hip,,,,,Out: Neck,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Montgomery,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/M/MontTy01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questionable: Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalin Moore,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/M/MoorJa01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Mosley,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/M/MoslC.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Out: Groin,Doubtful: Groin,Doubtful: Groin,Doubtful: Groin,Questionable: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Out: Groin,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Myers,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/M/MyerMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelechi Osemele,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/O/OsemKe00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questionable: Knee,Doubtful: Shoulder,Doubtful: Shoulder,Doubtful: Shoulder,Doubtful: Shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Poole,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/P/PoolBr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Questionable: Groin,,,,,,,,,,Out: Concussion,Out: Concussion,Questionable: Concussion,Questionable: Ankle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilal Powell,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/P/PoweBi00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Out: Ankle,Questionable: Ankle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent Qvale,nyj,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/players/Q/QvalBr01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,Injured Reserve: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
